Date,Customer Name,Email,Quantity,Price,Revenue
2023-01-01,Unknown,Unknown,1,30,30
2023-01-02,Alice,alice@gmail.com,1,40,40
2023-01-04,Alice,alice@gmail.com,4,40,160
2023-01-05,Charlie,charlie@yahoo.com,3,30,90
2023-01-06,BOB,bob@outlook,3,30,90
2023-01-07,BOB,bob@outlook,1,50,50
2023-01-09,BOB,bob@outlook,3,20,60
2023-01-10,Charlie,charlie@yahoo.com,1,20,20
2023-01-11,Alice,alice@gmail.com,3,40,120
2023-01-13,Charlie,charlie@yahoo.com,2,10,20
2023-01-14,BOB,bob@outlook,2,40,80
2023-01-15,Alice,alice@gmail.com,1,50,50
2023-01-21,Alice,alice@gmail.com,5,50,250
2023-01-23,BOB,bob@outlook,3,30,90
2023-01-24,Alice,alice@gmail.com,4,20,80
2023-01-26,Alice,alice@gmail.com,3,10,30
2023-01-27,Alice,alice@gmail.com,3,50,150
2023-01-28,BOB,bob@outlook,1,10,10
2023-01-29,Bob,bob@outlook,3,10,30
2023-01-31,Alice,alice@gmail.com,5,30,150
2023-02-01,Alice,alice@gmail.com,3,50,150
2023-02-02,Alice,alice@gmail.com,1,10,10
2023-02-04,Charlie,charlie@yahoo.com,2,40,80
2023-02-05,Alice,alice@gmail.com,5,10,50
2023-02-06,BOB,bob@outlook,3,30,90
2023-02-07,Alice,alice@gmail.com,1,50,50
2023-02-08,Alice,alice@gmail.com,2,30,60
2023-02-09,Unknown,Unknown,2,10,20
2023-02-10,Bob,bob@outlook,4,50,200
2023-02-12,Unknown,Unknown,3,10,30
2023-02-13,Unknown,Unknown,1,30,30
2023-02-14,Charlie,charlie@yahoo.com,4,20,80
2023-02-16,Alice,alice@gmail.com,4,30,120
2023-02-17,Alice,alice@gmail.com,5,50,250
